Name,StartAddress,EndAddress,Size
FUN_801e0878,0x801E0878,0x801E08AB,0x34
FUN_801e08ac,0x801E08AC,0x801E08DF,0x34
FUN_801e08e0,0x801E08E0,0x801E095B,0x7C
FUN_801e095c,0x801E095C,0x801E0A6F,0x114
FUN_801e0a70,0x801E0A70,0x801E0BB7,0x148
FUN_801e0bb8,0x801E0BB8,0x801E0BEF,0x38
FUN_801e0bf0,0x801E0BF0,0x801E0CBF,0xD0
FUN_801e0cc0,0x801E0CC0,0x801E0D0B,0x4C
FUN_801e0d0c,0x801E0D0C,0x801E0E0B,0x100
FUN_801e0e0c,0x801E0E0C,0x801E0E47,0x3C
FUN_801e0e48,0x801E0E48,0x801E0EF3,0xAC
FUN_801e0ef4,0x801E0EF4,0x801E0F0B,0x18
FUN_801e0f0c,0x801E0F0C,0x801E0FF7,0xEC
FUN_801e0ff8,0x801E0FF8,0x801E1263,0x26C
FUN_801e1264,0x801E1264,0x801E13FB,0x198
FUN_801e13fc,0x801E13FC,0x801E167B,0x280
FUN_801e167c,0x801E167C,0x801E170F,0x94
FUN_801e1710,0x801E1710,0x801E1737,0x28
FUN_801e1738,0x801E1738,0x801E178B,0x54
FUN_801e178c,0x801E178C,0x801E17EB,0x60
FUN_801e17ec,0x801E17EC,0x801E182B,0x40
FUN_801e182c,0x801E182C,0x801E18BB,0x90
FUN_801e18bc,0x801E18BC,0x801E18FF,0x44
FUN_801e1900,0x801E1900,0x801E1A67,0x168
FUN_801e1a68,0x801E1A68,0x801E1C1F,0x1B8
FUN_801e1c20,0x801E1C20,0x801E1CFF,0xE0
FUN_801e1d00,0x801E1D00,0x801E1E37,0x138
FUN_801e1e38,0x801E1E38,0x801E1F1B,0xE4
FUN_801e1f1c,0x801E1F1C,0x801E200F,0xF4
FUN_801e2010,0x801E2010,0x801E213F,0x130
FUN_801e2140,0x801E2140,0x801E21EF,0xB0
FUN_801e21f0,0x801E21F0,0x801E222F,0x40
FUN_801e22d4,0x801E22D4,0x801E22F3,0x20
FUN_801e22f4,0x801E22F4,0x801E2313,0x20
FUN_801e2314,0x801E2314,0x801E2337,0x24
FUN_801e2338,0x801E2338,0x801E236B,0x34
FUN_801e236c,0x801E236C,0x801E239F,0x34
FUN_801e23a0,0x801E23A0,0x801E242F,0x90
FUN_801e2430,0x801E2430,0x801E27CB,0x39C
FUN_801e27cc,0x801E27CC,0x801E284B,0x80
FUN_801e284c,0x801E284C,0x801E2877,0x2C
FUN_801e2878,0x801E2878,0x801E28C7,0x50
FUN_801e28c8,0x801E28C8,0x801E2907,0x40
FUN_801e2908,0x801E2908,0x801E292F,0x28
FUN_801e2930,0x801E2930,0x801E29A7,0x78
FUN_801e29a8,0x801E29A8,0x801E29F7,0x50
FUN_801e29f8,0x801E29F8,0x801E2ACB,0xD4
FUN_801e2acc,0x801E2ACC,0x801E2B63,0x98
FUN_801e2b64,0x801E2B64,0x801E2B83,0x20
FUN_801e2b84,0x801E2B84,0x801E2BCB,0x48
FUN_801e2bcc,0x801E2BCC,0x801E2BEB,0x20
FUN_801e2bec,0x801E2BEC,0x801E2C3B,0x50
FUN_801e2c3c,0x801E2C3C,0x801E2CB3,0x78
FUN_801e2e98,0x801E2E98,0x801E2EDB,0x44
FUN_801e2edc,0x801E2EDC,0x801E2EF3,0x18
FUN_801e2ef4,0x801E2EF4,0x801E2F13,0x20
FUN_801e2f14,0x801E2F14,0x801E2F37,0x24
FUN_801e2f98,0x801E2F98,0x801E2FCB,0x34
FUN_801e2fcc,0x801E2FCC,0x801E3023,0x58
FUN_801e3024,0x801E3024,0x801E3043,0x20
FUN_801e3044,0x801E3044,0x801E30DF,0x9C
FUN_801e30e0,0x801E30E0,0x801E30FF,0x20
FUN_801e3100,0x801E3100,0x801E311F,0x20
FUN_801e3120,0x801E3120,0x801E314B,0x2C
FUN_801e314c,0x801E314C,0x801E317F,0x34
FUN_801e3180,0x801E3180,0x801E31D3,0x54
FUN_801e31d4,0x801E31D4,0x801E321F,0x4C
FUN_801e3220,0x801E3220,0x801E3383,0x164
FUN_801e3398,0x801E3398,0x801E3507,0x170
psx_entry_801E3508,0x801E3508,0x801E35AF,0xA8
FUN_801e35b0,0x801E35B0,0x801E361F,0x70
FUN_801e3620,0x801E3620,0x801E3687,0x68
FUN_801e3688,0x801E3688,0x801E36A7,0x20
FUN_801e36a8,0x801E36A8,0x801E376F,0xC8
FUN_801e3770,0x801E3770,0x801E37F3,0x84
FUN_801e37f4,0x801E37F4,0x801E3817,0x24
FUN_801e38a4,0x801E38A4,0x801E3DBF,0x51C
FUN_801e3dc0,0x801E3DC0,0x801E40F3,0x334
FUN_801e40f4,0x801E40F4,0x801E4293,0x1A0
FUN_801e4294,0x801E4294,0x801E4473,0x1E0
FUN_801e4474,0x801E4474,0x801E471B,0x2A8
FUN_801e471c,0x801E471C,0x801E47A3,0x88
FUN_801e47a4,0x801E47A4,0x801E480B,0x68
FUN_801e480c,0x801E480C,0x801E4853,0x48
FUN_801e4934,0x801E4934,0x801E4943,0x10
FUN_801e4944,0x801E4944,0x801E494F,0xC
FUN_801e4954,0x801E4954,0x801E495F,0xC
FUN_801e4964,0x801E4964,0x801E496F,0xC
FUN_801e4974,0x801E4974,0x801E497F,0xC
