Name,StartAddress,EndAddress,Size
FUN_801e000c,0x801E000C,0x801E001F,0x14
FUN_801e0020,0x801E0020,0x801E0037,0x18
FUN_801e0038,0x801E0038,0x801E003F,0x8
FUN_801e0040,0x801E0040,0x801E005F,0x20
FUN_801e03a4,0x801E03A4,0x801E03D7,0x34
FUN_801e03d8,0x801E03D8,0x801E040B,0x34
FUN_801e0488,0x801E0488,0x801E059B,0x114
FUN_801e059c,0x801E059C,0x801E05FB,0x60
FUN_801e05fc,0x801E05FC,0x801E0633,0x38
FUN_801e0634,0x801E0634,0x801E0703,0xD0
FUN_801e0704,0x801E0704,0x801E074F,0x4C
FUN_801e0750,0x801E0750,0x801E084F,0x100
FUN_801e0850,0x801E0850,0x801E088B,0x3C
FUN_801e088c,0x801E088C,0x801E0937,0xAC
FUN_801e0938,0x801E0938,0x801E094F,0x18
FUN_801e0950,0x801E0950,0x801E0A3B,0xEC
FUN_801e0a3c,0x801E0A3C,0x801E0CA7,0x26C
FUN_801e0ca8,0x801E0CA8,0x801E0E3F,0x198
FUN_801e0e40,0x801E0E40,0x801E10BF,0x280
FUN_801e10c0,0x801E10C0,0x801E1153,0x94
FUN_801e1154,0x801E1154,0x801E117B,0x28
FUN_801e117c,0x801E117C,0x801E11CF,0x54
FUN_801e11d0,0x801E11D0,0x801E122F,0x60
FUN_801e1230,0x801E1230,0x801E126F,0x40
FUN_801e1270,0x801E1270,0x801E12FF,0x90
FUN_801e1300,0x801E1300,0x801E1343,0x44
FUN_801e1344,0x801E1344,0x801E136B,0x28
FUN_801e136c,0x801E136C,0x801E140F,0xA4
psx_entry_801E1410,0x801E1410,0x801E14B7,0xA8
FUN_801e14b8,0x801E14B8,0x801E1527,0x70
FUN_801e1528,0x801E1528,0x801E158F,0x68
FUN_801e1590,0x801E1590,0x801E159B,0xC
FUN_801e15a0,0x801E15A0,0x801E15AB,0xC
FUN_801e15b0,0x801E15B0,0x801E15DF,0x30
FUN_801e15e0,0x801E15E0,0x801E160F,0x30
FUN_801e1610,0x801E1610,0x801E163F,0x30
FUN_801e1640,0x801E1640,0x801E166F,0x30
FUN_801e1670,0x801E1670,0x801E169F,0x30
FUN_801e16a0,0x801E16A0,0x801E16B3,0x14
FUN_801e16cc,0x801E16CC,0x801E16E7,0x1C
FUN_801e16e8,0x801E16E8,0x801E17A7,0xC0
FUN_801e17a8,0x801E17A8,0x801E199B,0x1F4
FUN_801e199c,0x801E199C,0x801E1AC3,0x128
FUN_801e1ac4,0x801E1AC4,0x801E1B2B,0x68
FUN_801e1b2c,0x801E1B2C,0x801E1B57,0x2C
FUN_801e1b58,0x801E1B58,0x801E1B67,0x10
FUN_801e1b68,0x801E1B68,0x801E1B73,0xC
FUN_801e1b78,0x801E1B78,0x801E1B87,0x10
FUN_801e1b88,0x801E1B88,0x801E1B93,0xC
FUN_801e1b98,0x801E1B98,0x801E1BA3,0xC
FUN_801e1ba8,0x801E1BA8,0x801E1C0B,0x64
FUN_801e1c0c,0x801E1C0C,0x801E1C53,0x48
FUN_801e1c54,0x801E1C54,0x801E1DB7,0x164
FUN_801e1db8,0x801E1DB8,0x801E1EBF,0x108
FUN_801e1ec0,0x801E1EC0,0x801E1EEB,0x2C
FUN_801e1eec,0x801E1EEC,0x801E1F63,0x78
FUN_801e1f64,0x801E1F64,0x801E1F9B,0x38
FUN_801e2020,0x801E2020,0x801E204B,0x2C
FUN_801e204c,0x801E204C,0x801E2057,0xC
FUN_801e205c,0x801E205C,0x801E2067,0xC
FUN_801e206c,0x801E206C,0x801E2077,0xC
FUN_801e207c,0x801E207C,0x801E2087,0xC
FUN_801e208c,0x801E208C,0x801E2097,0xC
FUN_801e209c,0x801E209C,0x801E20A7,0xC
FUN_801e20ac,0x801E20AC,0x801E20B7,0xC
FUN_801e20bc,0x801E20BC,0x801E214B,0x90
FUN_801e214c,0x801E214C,0x801E2173,0x28
FUN_801e2174,0x801E2174,0x801E219B,0x28
FUN_801e219c,0x801E219C,0x801E21C3,0x28
FUN_801e21c4,0x801E21C4,0x801E21CF,0xC
FUN_801e21d4,0x801E21D4,0x801E21E3,0x10
FUN_801e21e4,0x801E21E4,0x801E21F3,0x10
FUN_801e2204,0x801E2204,0x801E2213,0x10
FUN_801e2214,0x801E2214,0x801E227F,0x6C
FUN_801e2280,0x801E2280,0x801E229F,0x20
FUN_801e2320,0x801E2320,0x801E233F,0x20
FUN_801e2340,0x801E2340,0x801E235F,0x20
FUN_801e2360,0x801E2360,0x801E2377,0x18
FUN_801e2378,0x801E2378,0x801E238F,0x18
FUN_801e2390,0x801E2390,0x801E24C7,0x138
FUN_801e24c8,0x801E24C8,0x801E25F3,0x12C
FUN_801e25f4,0x801E25F4,0x801E2737,0x144
FUN_801e2738,0x801E2738,0x801E275B,0x24
FUN_801e275c,0x801E275C,0x801E277F,0x24
FUN_801e2780,0x801E2780,0x801E27A3,0x24
FUN_801e27a4,0x801E27A4,0x801E27C3,0x20
FUN_801e28c8,0x801E28C8,0x801E2947,0x80
FUN_801e2948,0x801E2948,0x801E2EBF,0x578
FUN_801e2ec0,0x801E2EC0,0x801E313F,0x280
FUN_801e3140,0x801E3140,0x801E340B,0x2CC
FUN_801e340c,0x801E340C,0x801E3853,0x448
FUN_801e3854,0x801E3854,0x801E38DB,0x88
FUN_801e38dc,0x801E38DC,0x801E39BB,0xE0
FUN_801e39bc,0x801E39BC,0x801E3AAF,0xF4
FUN_801e3ab0,0x801E3AB0,0x801E3AFF,0x50
FUN_801e3b00,0x801E3B00,0x801E3CEB,0x1EC
FUN_801e3cec,0x801E3CEC,0x801E3E57,0x16C
FUN_801e3e58,0x801E3E58,0x801E3F57,0x100
FUN_801e3f68,0x801E3F68,0x801E4047,0xE0
FUN_801e4048,0x801E4048,0x801E418F,0x148
FUN_801e4190,0x801E4190,0x801E422B,0x9C
FUN_801e422c,0x801E422C,0x801E4237,0xC
FUN_801e4460,0x801E4460,0x801E4637,0x1D8
FUN_801e4638,0x801E4638,0x801E473F,0x108
FUN_801e4740,0x801E4740,0x801E480B,0xCC
FUN_801e480c,0x801E480C,0x801E4823,0x18
