Name,StartAddress,EndAddress,Size
FUN_80028800,0x80028800,0x80028B8B,0x38C
FUN_80028b8c,0x80028B8C,0x80028BAB,0x20
FUN_80028bac,0x80028BAC,0x80028BEF,0x44
FUN_80028bf0,0x80028BF0,0x80028C27,0x38
FUN_80028c28,0x80028C28,0x80028C4F,0x28
FUN_80028c50,0x80028C50,0x80028C8F,0x40
FUN_80028c90,0x80028C90,0x80028CF3,0x64
FUN_80028cf4,0x80028CF4,0x80028D33,0x40
FUN_80028d34,0x80028D34,0x80028D5F,0x2C
FUN_80028d60,0x80028D60,0x80028E07,0xA8
FUN_80028e08,0x80028E08,0x80028ECF,0xC8
FUN_80028ed0,0x80028ED0,0x80029047,0x178
FUN_80029050,0x80029050,0x80029057,0x8
FUN_80029058,0x80029058,0x80029097,0x40
FUN_80029098,0x80029098,0x800290C3,0x2C
FUN_800290c4,0x800290C4,0x80029167,0xA4
FUN_80029168,0x80029168,0x800291F3,0x8C
FUN_80029214,0x80029214,0x80029413,0x200
FUN_8002941c,0x8002941C,0x8002963F,0x224
FUN_80029640,0x80029640,0x800297A7,0x168
FUN_800297a8,0x800297A8,0x8002983B,0x94
FUN_8002983c,0x8002983C,0x8002985B,0x20
FUN_8002985c,0x8002985C,0x800298E7,0x8C
FUN_800298e8,0x800298E8,0x8002995F,0x78
FUN_80029960,0x80029960,0x800299FB,0x9C
FUN_800299fc,0x800299FC,0x80029A1B,0x20
FUN_80029a1c,0x80029A1C,0x80029A3B,0x20
FUN_80029a3c,0x80029A3C,0x80029A5B,0x20
FUN_80029a5c,0x80029A5C,0x80029ADF,0x84
FUN_80029ae0,0x80029AE0,0x80029B1F,0x40
FUN_80029b20,0x80029B20,0x80029B63,0x44
FUN_80029b64,0x80029B64,0x80029B97,0x34
FUN_80029b98,0x80029B98,0x80029DCF,0x238
FUN_80029dd0,0x80029DD0,0x80029DFF,0x30
FUN_80029e00,0x80029E00,0x80029EBF,0xC0
FUN_80029ec0,0x80029EC0,0x8002A4E7,0x628
FUN_8002a4e8,0x8002A4E8,0x8002A66B,0x184
FUN_8002a66c,0x8002A66C,0x8002A7AF,0x144
FUN_8002a920,0x8002A920,0x8002AAA3,0x184
FUN_8002aaa4,0x8002AAA4,0x8002AB2F,0x8C
FUN_8002ab30,0x8002AB30,0x8002AB87,0x58
FUN_8002ab88,0x8002AB88,0x8002AC2B,0xA4
FUN_8002ac2c,0x8002AC2C,0x8002AC8F,0x64
FUN_8002ac90,0x8002AC90,0x8002AD23,0x94
