Name,StartAddress,EndAddress,Size
FUN_800290c0,0x800290C0,0x80029113,0x54
FUN_80029114,0x80029114,0x800291FF,0xEC
FUN_80029200,0x80029200,0x80029257,0x58
FUN_80029258,0x80029258,0x800294F7,0x2A0
FUN_800294f8,0x800294F8,0x8002958F,0x98
FUN_80029590,0x80029590,0x800295BF,0x30
FUN_800295c0,0x800295C0,0x800295C7,0x8
FUN_800295c8,0x800295C8,0x800295CF,0x8
FUN_800295d0,0x800295D0,0x8002968B,0xBC
FUN_8002968c,0x8002968C,0x800296FB,0x70
FUN_800296fc,0x800296FC,0x8002972F,0x34
FUN_80029730,0x80029730,0x8002987F,0x150
FUN_80029880,0x80029880,0x800298FF,0x80
FUN_80029900,0x80029900,0x80029993,0x94
FUN_80029994,0x80029994,0x80029BCB,0x238
FUN_80029bcc,0x80029BCC,0x80029BD3,0x8
FUN_80029bd4,0x80029BD4,0x80029BDB,0x8
FUN_80029bdc,0x80029BDC,0x80029BFB,0x20
FUN_80029bfc,0x80029BFC,0x80029C3F,0x44
FUN_80029c40,0x80029C40,0x80029C77,0x38
FUN_80029c78,0x80029C78,0x80029C9F,0x28
FUN_80029ca0,0x80029CA0,0x80029CDF,0x40
FUN_80029ce0,0x80029CE0,0x80029D43,0x64
FUN_80029d44,0x80029D44,0x80029D83,0x40
FUN_80029d84,0x80029D84,0x80029DAF,0x2C
FUN_80029db0,0x80029DB0,0x80029E57,0xA8
FUN_80029e58,0x80029E58,0x80029F1F,0xC8
FUN_80029f20,0x80029F20,0x8002A097,0x178
FUN_8002a0a8,0x8002A0A8,0x8002A0E7,0x40
FUN_8002a0e8,0x8002A0E8,0x8002A113,0x2C
FUN_8002a114,0x8002A114,0x8002A1B7,0xA4
FUN_8002a1b8,0x8002A1B8,0x8002A243,0x8C
FUN_8002a244,0x8002A244,0x8002A253,0x10
FUN_8002a254,0x8002A254,0x8002A25B,0x8
FUN_8002a25c,0x8002A25C,0x8002A263,0x8
FUN_8002a264,0x8002A264,0x8002A463,0x200
FUN_8002a464,0x8002A464,0x8002A46B,0x8
FUN_8002a46c,0x8002A46C,0x8002A68F,0x224
FUN_8002a690,0x8002A690,0x8002A7F7,0x168
FUN_8002a7f8,0x8002A7F8,0x8002A88B,0x94
FUN_8002a88c,0x8002A88C,0x8002A8AB,0x20
FUN_8002a8ac,0x8002A8AC,0x8002A937,0x8C
FUN_8002a938,0x8002A938,0x8002A9AF,0x78
FUN_8002a9b0,0x8002A9B0,0x8002AA4B,0x9C
FUN_8002aa4c,0x8002AA4C,0x8002AA6B,0x20
FUN_8002aa6c,0x8002AA6C,0x8002AA8B,0x20
FUN_8002aa8c,0x8002AA8C,0x8002AAAB,0x20
FUN_8002aaac,0x8002AAAC,0x8002AB2F,0x84
FUN_8002ab30,0x8002AB30,0x8002AB6F,0x40
FUN_8002ab70,0x8002AB70,0x8002ABB3,0x44
FUN_8002abb4,0x8002ABB4,0x8002ABE7,0x34
FUN_8002abe8,0x8002ABE8,0x8002AC9F,0xB8
FUN_8002aca0,0x8002ACA0,0x8002B03F,0x3A0
FUN_8002b040,0x8002B040,0x8002B287,0x248
FUN_8002b288,0x8002B288,0x8002B3C7,0x140
FUN_8002b3c8,0x8002B3C8,0x8002B3FB,0x34
FUN_8002b3fc,0x8002B3FC,0x8002B433,0x38
FUN_8002b434,0x8002B434,0x8002B5C3,0x190
FUN_8002b5c4,0x8002B5C4,0x8002BB63,0x5A0
FUN_8002bb64,0x8002BB64,0x8002BBD7,0x74
FUN_8002bbd8,0x8002BBD8,0x8002BC67,0x90
FUN_8002bc68,0x8002BC68,0x8002BE9F,0x238
FUN_8002bea0,0x8002BEA0,0x8002BF27,0x88
FUN_8002bf28,0x8002BF28,0x8002C12B,0x204
FUN_8002c12c,0x8002C12C,0x8002C1DF,0xB4
FUN_8002c1e0,0x8002C1E0,0x8002C22B,0x4C
